19285044,Ketones suppress brain glucose consumption.,"The brain is dependent on glucose as a primary energy substrate, but is capable of utilizing ketones such as beta-hydroxybutyrate (beta HB) and acetoacetate (AcAc), as occurs with fasting, prolonged starvation or chronic feeding of a high fat/low carbohydrate diet (ketogenic diet). In this study, the local cerebral metabolic rate of glucose consumption (CMRglu; microM/min/100g) was calculated in the cortex and cerebellum of control and ketotic rats using Patlak analysis. Rats were imaged on a rodent PET scanner and MRI was performed on a 7-Tesla Bruker scanner for registration with the PET images. Plasma glucose and beta HB concentrations were measured and 90-minute dynamic PET scans were started simultaneously with bolus injection of 2-Deoxy-2[18F]Fluoro-D-Glucose (FDG). The blood radioactivity concentration was automatically sampled from the tail vein for 3 min following injection and manual periodic blood samples were taken. The calculated local CMRGlu decreased with increasing plasma BHB concentration in the cerebellum (CMRGlu = -4.07*[BHB] + 61.4, r2 = 0.3) and in the frontal cortex (CMRGlu = -3.93*[BHB] + 42.7, r2 = 0.5). These data indicate that, under conditions of ketosis, glucose consumption is decreased in the cortex and cerebellum by about 10% per each mM of plasma ketone bodies.",ABAT; SLC6A1; SLC6A11,rat primary cultured astrocytes,animal; in vitro,Multi-model,"astrocytic GABA degradation, down",Neurotransmission & Neuronal Plasticity,brain,Brain/CNS,astrocytes,Neural / Glial,Astrocytes,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"antiepileptic effects, positive","Seizure protection, positive",added to culture medium,In vitro media supplementation,NS
19300863,Beta-hydroxybutyrate alters GABA-transaminase activity in cultured astrocytes.,"The ketogenic diet has long been recognized as an effective treatment for medically refractory epilepsy. Despite nearly a century of use, the mechanisms underlying its clinical efficacy remain unknown. One of the proposed hypotheses for its anti-epileptic actions involves increased GABA concentration in the brain due to ketone bodies that become elevated with a ketogenic diet. In recent years, the notion that astrocytes could play a role in the evolution of abnormal cortical excitability in chronic neurological disorders, such as epilepsy, has received renewed attention. The present study examined the effects of beta-hydroxybutyrate, a ketone body, on GABA metabolism in rat primary cultured astrocytes. When beta-hydroxybutyrate was added to culture medium, GABA-transaminase (GABA-T) mRNA expression was significantly suppressed in time- and dose-dependent manners. GABA-T enzymatic activity in beta-hydroxybutyrate-treated astrocytes was also suppressed, in accordance with its gene expression. These effects were evident after 3 days of culture, which might coincide with depleted intracellular glycogen. GABA transporter, GAT-1, gene expression was strongly suppressed in cultured astrocytes after 5 days of culture with beta-hydroxybutyrate, although other type of GABA transporters did not display significant changes. These results suggest that beta-hydroxybutyrate induced by ketogenic diet may increase GABA concentration in the epileptic brain by suppressing astrocytic GABA degradation, leading to antiepileptic effects.",0,young adults (23 +/- 1 y); middle-aged adults (50 +/- 1 y); elderly adults (76 +/- 2 y),human,Human – Observational/Patient samples,"beta-hydroxybutyrate oxidation, no-change",Metabolic Regulation,plasma,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketogenic meal,Ketogenic diet (endogenous),NS
19393032,Metabolic response to a ketogenic breakfast in the healthy elderly.,"OBJECTIVE: To determine whether the metabolism of glucose or ketones differs in the healthy elderly compared to young or middle-aged adults during mild, short-term ketosis induced by a ketogenic breakfast. DESIGN AND PARTICIPANTS: Healthy subjects in three age groups (23 +/- 1, 50 +/- 1 and 76 +/- 2 y old) were given a ketogenic meal and plasma beta -hydroxybutyrate, glucose, insulin, triacylglycerols, total cholesterol, non-esterified fatty acids and breath acetone were measured over the subsequent 6 h. Each subject completed the protocol twice in order to determine the oxidation of a tracer dose of both carbon-13 (13C) glucose and 13C-beta-hydroxybutyrate. The tracers were given separately in random order. Apolipoprotein E genotype was also determined in all subjects. RESULTS: Plasma glucose decreased and beta-hydroxybutyrate, acetone and insulin increased similarly over 6 h in all three groups after the ketogenic meal. There was no significant change in cholesterol, triacylglycerols or non-esterified fatty acids over the 6 h. 13C-glucose and 13C-beta-hydroxybutyrate oxidation peaked at 2-3 h postdose for all age groups. Cumulative 13C-glucose oxidation over 24 h was significantly higher in the elderly but only versus the middle-aged group. There was no difference in cumulative 13C-beta-hydroxybutyrate oxidation between the three groups. Apolipoprotein E (epsilon 4) was associated with elevated fasting cholesterol but was unrelated to the other plasma metabolites. CONCLUSION: Elderly people in relatively good health have a similar capacity to produce ketones and to oxidize 13C-beta-hydroxybutyrate as middle-aged or young adults, but oxidize 13C-glucose a little more rapidly than healthy middle-aged adults.",0,day-old chicks; one-trial bead discrimination learning,animal,Animal – Other Mammal; NS,"astrocytic oxidative metabolism, up",Mitochondrial Function & Bioenergetics,NS,NS,astrocytes,Neural / Glial,Astrocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"memory consolidation, up","Memory (general), up",ketone body beta-hydroxybutyrate (injected),Exogenous BHB (unspecified/free acid),NS
19457063,Rescue of Abeta(1-42)-induced memory impairment in day-old chick by facilitation of astrocytic oxidative metabolism: implications for Alzheimer's disease.,"Administration of small oligomeric beta-amyloid (Abeta)(1-42) 45 min before one-trial bead discrimination learning in day-old chicks abolishes consolidation of learning 30 min post-training (Gibbs et al. Neurobiol. Aging, in press). Administration of the beta3-adrenergic agonist CL316243, which specifically stimulates astrocytic but not neuronal glucose uptake, rescues Abeta impaired memory. Weakly reinforced training can be consolidated by various metabolic substrates and we have demonstrated neuronal dependence on oxidative metabolism of glucose soon after training versus astrocytic glucose dependence 20 min later. Based on these findings we examined whether different metabolic substrates were able to counteract memory inhibition by Abeta(1-42). Although lactate, the medium-chain fatty acid octanoate, and the ketone body beta-hydroxybutyrate consolidated weakly reinforced training when injected close to learning, none of them were able to salvage Abeta-impaired memory; at this early time. All three metabolites and the astrocytic-specific acetate consolidated weak learning and rescued Abeta-impaired memory when injected 10-20 min post-training. However, neither glucose nor insulin rescued memory when injected at 20 min. Rescue of memory by providing astrocytes with alternative substrates for oxidative metabolism suggests that Abeta(1-42) exerts its amnestic effects specifically by impairing astrocytic glycolysis.",0,cultured glutamatergic neurons,in vitro,In vitro – Primary cells,"malate-aspartate shuttle activity, down",Mitochondrial Function & Bioenergetics,brain,Brain/CNS,glutamatergic neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan","[2,4-(13)C]beta-hydroxybutyrate",Exogenous BHB (unspecified/free acid),NS
19664276,Availability of neurotransmitter glutamate is diminished when beta-hydroxybutyrate replaces glucose in cultured neurons.,"Ketone bodies serve as alternative energy substrates for the brain in cases of low glucose availability such as during starvation or in patients treated with a ketogenic diet. The ketone bodies are metabolized via a distinct pathway confined to the mitochondria. We have compared metabolism of [2,4-(13)C]beta-hydroxybutyrate to that of [1,6-(13)C]glucose in cultured glutamatergic neurons and investigated the effect of neuronal activity focusing on the aspartate-glutamate homeostasis, an essential component of the excitatory activity in the brain. The amount of (13)C incorporation and cellular content was lower for glutamate and higher for aspartate in the presence of [2,4-(13)C]beta-hydroxybutyrate as opposed to [1,6-(13)C]glucose. Our results suggest that the change in aspartate-glutamate homeostasis is due to a decreased availability of NADH for cytosolic malate dehydrogenase and thus reduced malate-aspartate shuttle activity in neurons using beta-hydroxybutyrate. In the presence of glucose, the glutamate content decreased significantly upon activation of neurotransmitter release, whereas in the presence of only beta-hydroxybutyrate, no decrease in the glutamate content was observed. Thus, the fraction of the glutamate pool available for transmitter release was diminished when metabolizing beta-hydroxybutyrate, which is in line with the hypothesis of formation of transmitter glutamate via an obligatory involvement of the malate-aspartate shuttle.",0,152 subjects with mild to moderate Alzheimer's disease; APOE4(-) subgroup,human,Human – Observational/Patient samples; NS,"elevation of serum beta-hydroxybutyrate, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Alzheimer's disease,Neurodegenerative,"cognition (ADAS-Cog), improved","Cognition, improved",AC-1202,MCT / Medium-chain fats,NS
19851865,"Study of the ketogenic agent AC-1202 in mild to moderate Alzheimer's disease: a randomized, double-blind, placebo-controlled, multicenter trial.","BACKGROUND: Alzheimer's disease (AD) is characterized by early and region-specific declines in cerebral glucose metabolism. Ketone bodies are produced by the body during glucose deprivation and are metabolized by the brain. An oral ketogenic compound, AC-1202, was tested in subjects with probable AD to examine if ketosis could improve cognitive performance. METHODS: Daily administration of AC-1202 was evaluated in 152 subjects diagnosed with mild to moderate AD in a US-based, 90-day, randomized, double-blind, placebo-controlled, parallel-group study. Subjects were on a normal diet and continued taking approved AD medications. Primary cognitive end points were mean change from Baseline in the AD Assessment Scale-Cognitive subscale (ADAS-Cog), and global scores in the AD Cooperative Study - Clinical Global Impression of Change (ADCS-CGIC). AC-1202 was compared to Placebo in several population groups, including: intention-to-treat (ITT), per protocol, and dosage compliant groups. Results were also stratified by APOE4 carriage status (a predefined analysis based on the epsilon 4 (E4) variant of the apolipoprotein E gene). This trial was registered with ClinicalTrials.gov, registry number NCT00142805, information available at http://clinicaltrials.gov/ct2/show/NCT00142805 RESULTS: AC-1202 significantly elevated a serum ketone body (beta-hydroxybutyrate) 2 hours after administration when compared to Placebo. In each of the population groups, a significant difference was found between AC-1202 and Placebo in mean change from Baseline in ADAS-Cog score on Day 45: 1.9 point difference, p = 0.0235 in ITT; 2.53 point difference, p = 0.0324 in per protocol; 2.6 point difference, p = 0.0215 in dosage compliant. Among participants who did not carry the APOE4 allele (E4(-)), a significant difference was found between AC-1202 and Placebo in mean change from Baseline in ADAS-Cog score on Day 45 and Day 90. In the ITT population, E4(-) participants (N = 55) administered AC-1202 had a significant 4.77 point difference in mean change from Baseline in ADAS-Cog scores at Day 45 (p = 0.0005) and a 3.36 point difference at Day 90 (p = 0.0148) compared to Placebo. In the per protocol population, E4(-) participants receiving AC-1202 (N = 37) differed from placebo by 5.73 points at Day 45 (p = 0.0027) and by 4.39 points at Day 90 (p = 0.0143). In the dosage compliant population, E4(-) participants receiving AC-1202 differed from placebo by 6.26 points at Day 45 (p = 0.0011, N = 38) and 5.33 points at Day 90 (p = 0.0063, N = 35). Furthermore, a significant pharmacologic response was observed between serum beta-hydroxybutyrate levels and change in ADAS-Cog scores in E4(-) subjects at Day 90 (p = 0.008). Adverse events occurred more frequently in AC-1202 subjects, were primarily restricted to the gastrointestinal system, and were mainly mild to moderate in severity and transient in nature. CONCLUSION: AC-1202 rapidly elevated serum ketone bodies in AD patients and resulted in significant differences in ADAS-Cog scores compared to the Placebo. Effects were most notable in APOE4(-) subjects who were dosage compliant.",0,PC12 cells,in vitro,In vitro – Immortalized cell line,"mitochondrial membrane potential maintenance, up",Mitochondrial Function & Bioenergetics,NS,NS,PC12 cells,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,D-BHB
19873554,D-beta-hydroxybutyrate prevents MPP+-induced neurotoxicity in PC12 cells.,"Numerous studies show that D-beta-Hydroxybutyrate (DbetaHB) is neuroprotective. The present study was to explore the neuroprotective effects of DbetaHB against the cell death and apoptosis induced by 1-methyl-4-phenylpyridinium ion (MPP+) in PC12 cells. PC12 cells were pretreated with DbetaHB and followed by MPP+ exposure. The cell viability was determined by MTT assay. The morphological characteristics of apoptosis was observed by Acridine Orange (AO) staining and apoptotic rates were measured by flow cytometer. The product of lipid peroxidation, malondialdehyde (MDA), was measured using thiobarbituric acid method. The mitochondrial membrane potential (MMP), intracellular ROS and total glutathione were detected by microplate reader. In PC12 cells, pretreatment with DbetaHB significantly reduced MPP+-induced the decrease of cell viability. AO staining and flow cytometric analysis found DbetaHB inhibited MPP+-induced apoptosis. The measurement of MDA formation showed that DbetaHB alleviated lipid peroxidation induced by MPP+. The loss of MMP induced by MPP+ was preventive by DbetaHB. The changes of intracellular ROS and total glutathione induced by MPP+ were reversed by DbetaHB. DbetaHB protected PC12 cells against MPP+-induced death and apoptosis.",0; ATP1A1,toad bladder,animal; in vitro,Animal – Other Mammal,"specific metabolic pathway(s) spatially linked to the transport mechanism, NS",Ion & Nutrient Transport,toad bladder,Urinary bladder/Lower urinary tract,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
19950075,The Coupling of the Short-Circuit Current to Metabolism in the Urinary Bladder of the Toad.,"The relationship of the short-circuit current to metabolism was studied in the toad bladder in vitro. Substrates and inhibitors were added to the bathing medium and the effect on the short-circuit current was determined. The spontaneous decline in the short-circuit current that occurred in substrate-free media was prevented or reversed by the addition of glucose, pyruvate, lactate, or beta-hydroxybutyrate, whereas acetate and tricarboxylic acid cycle intermediates had no effect. A variety of metabolic inhibitors depressed the short-circuit current; depression by iodoacetate and by malonate was delayed by prior addition of pyruvate or lactate but not by glucose. The ability of a substrate to stimulate the current did not correlate with its rate of oxidation to CO(2). On the basis of earlier studies, the metabolic effects on the short-circuit current were assumed to reflect equivalent effects on the rate of active Na transport. It is suggested that the energy for Na transport is provided not by a general cellular metabolic pool but by a specific metabolic pathway or pathways spatially linked to the transport mechanism.",0,RL-34,in vitro,In vitro – Immortalized cell line,"ROS formation, down",Oxidative Stress & Antioxidant Defense,NS,NS,RL-34 cells,Unspecified / Mixed,Cell line (origin unclear),mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
20163521,NADH-generating substrates reduce peroxyl radical toxicity in RL-34 cells.,"There is general agreement that oxidative stress may induce apoptotic and necrotic cell death. Recently it has been shown that NADH can be considered an important antioxidant as it reacts with peroxyl and alkoxyl radicals under in vitro conditions. Therefore, in the present study we hypothesized that an increase in intracellular NADH using specific substrates will protect RL-34 cells against cytotoxicity of 2'-azobis (2-amidinopropane) dihydrochloride (AAPH), which is a peroxyl radical generating compound. Cells treated for 24 hours with 6.0 mM AAPH were severely damaged: mitochondria were vacuolated, and the level of free radicals significantly increased. Both apoptotic and necrotic cells were detected (11.1% and 11.4%, respectively) even after 5 hours of treatment. Pretreatment of the cells with substrates which increase the intracellular level of NADH, such as lactate, beta-hydroxybutyrate, and ethanol, distinctly inhibited AAPH-induced reactive oxygen species (ROS) formation and cell death. On the other hand, acetoacetate (AcA), which decrease the intracellular level of NADH, had opposite effects. Interestingly, NADH-generating substrates augment, while AcA reduced superoxide radical formation induced by AAPH. These results may suggest that although NADH generating substrates may exert some deleterious effects within a cell by inducing reductive stress, they diminish alkoxyl or peroxyl radical cytotoxicity. The protection is associated with a decrease in ROS formation measured by dichlorofluorescein, but with an increase in superoxide radical formation.",0,variety of epilepsy syndromes; different animal models; organotypic hippocampal slice cultures,human; animal; in vitro,NS; Ex vivo – Tissue/Organ explant or slice,"neuroprotection, up",Cell Death & Survival,hippocampus,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"neuronal damage, down; intrinsic and induced seizure-like activity, no-change; hippocampal network hyperexcitability, down","Neuronal survival, down; Seizure activity, no-change",D-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),D-BHB
20386494,Chronic in vitro ketosis is neuroprotective but not anti-convulsant.,"The ketogenic diet (KD), used successfully to treat a variety of epilepsy syndromes in humans and to attenuate seizures in different animal models, also provides powerful neuroprotection in various CNS injury models. Yet, a direct role for ketone bodies in limiting seizure and neuronal damage remains poorly understood. Using organotypic hippocampal slice cultures, we established an in vitro model of chronic ketosis for parallel studies of its neuroprotective and anti-convulsant effects. Chronic in vitro treatment with a ketone body, D-beta-hydroxybutyrate, protected the cultures against chronic hypoglycemia, oxygen-glucose deprivation, and NMDA-induced excitotoxicity, but failed to suppress intrinsic and induced seizure-like activity, indicating improved neuroprotection is not directly translated into seizure control. However, chronic in vitro ketosis abolished hippocampal network hyperexcitability following a metabolic insult, hypoxia, demonstrating for the first time a direct link between metabolic resistance and better control of excessive, synchronous, abnormal electrical activity. These findings suggest that the KD and, possibly, exogenous ketone administration, can be more beneficial for the treatment of seizures associated with metabolic stress or underlying metabolic abnormalities, and can potentially be used to optimize clinical applications of the traditional KD or its variants.",0,Sprague-Dawley male rats; hemorrhagic shock (60% blood loss),animal,Animal – Rat; NS,"NS, nan",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hemorrhagic shock,Injury & Trauma,"survival, increased","Survival, increased",systemic administration of d-beta-hydroxybutyrate (d-BHB) plus melatonin; infusion of 4 M d-BHB,Exogenous BHB (unspecified/free acid),D-BHB
20460097,Small-volume d-beta-hydroxybutyrate solution infusion increases survivability of lethal hemorrhagic shock in rats.,"A small-volume therapeutic approach based on the biochemistry of hibernating mammals was evaluated to test the hypothesis that passive hypothermia and systemic administration of d-beta-hydroxybutyrate (d-BHB) plus melatonin will increase survival of animals subjected to hemorrhagic shock ([HS] 60% blood loss). Anesthetized Sprague-Dawley male rats (320 +/- 23 g) underwent controlled loss of 60% blood volume. Rats were instrumented to measure mean arterial pressure, body temperature (Tb), and heart rate. A passive decrease in rat Tb in response to HS significantly increased survival over animals maintained at 37 degrees C (n = 5-6). Infusion of 4 M d-BHB, at a volume of only 5.5% of the total blood removed, significantly prolonged survival to a mean of 3 h compared with 90 min using equal osmolar 4 M NaCl (n = 6). In experiments where the shed blood was returned after 1 h of 60% blood loss, 4% fluid replacement with 4 M d-BHB plus 43 mM melatonin significantly prolonged survival up to 10 days after blood return compared with 4 M NaCl plus 43 mM melatonin and other control solutions (n = 10). We conclude that a slow decrease in animal Tb resulting from 60% blood loss, combined with infusion of 4 M d-BHB plus 43 mM melatonin, was beneficial for long-term survival after return of shed blood. This HS therapy is designed as a portable low-volume solution for further evaluation in a large-animal model and is ultimately intended for use in HS patients by first responders.",0,GK rat; INS-1 832/13 cells,animal; in vitro,Animal – Rat; In vitro – Immortalized cell line,"NS, nan",Other / Unspecified,pancreatic islets,Pancreas,INS-1 832/13 cells,Pancreatic Endocrine,β-cells (islet),mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"insulin release, up","Insulin secretion, up",NS,NS,NS
20516259,Lower succinyl-CoA:3-ketoacid-CoA transferase (SCOT) and ATP citrate lyase in pancreatic islets of a rat model of type 2 diabetes: knockdown of SCOT inhibits insulin release in rat insulinoma cells.,"Succinyl-CoA:3-ketoacid-CoA transferase (SCOT) is a mitochondrial enzyme that catalyzes the reversible transfer of coenzyme-A from acetoacetyl-CoA to succinate to form acetoacetate and succinyl-CoA. mRNAs of SCOT and ATP citrate lyase were decreased 55% and 58% and enzyme activities were decreased >70% in pancreatic islets of the GK rat, a model of type 2 diabetes. INS-1 832/13 cells were transfected with shRNAs targeting SCOT mRNA to generate cell lines with reduced SCOT activity. Two cell lines with >70% knockdown of SCOT activity showed >70% reduction in glucose- or methyl succinate-plus-beta-hydroxybutyrate-stimulated insulin release. Less inhibition of insulin release was observed with two cell lines with less knockdown of SCOT. Previous studies showed knockdown of ATP citrate lyase in INS-1 832/13 cells does not lower insulin release. The results further support work that suggests mitochondrial pathways involving SCOT which supply acetoacetate for export to the cytosol are important for insulin secretion.",SLC2A4; INSR; IRS1; AKT1,mouse soleus; extensor digitorum longus (EDL) muscle,animal,Animal – Mouse; Ex vivo – Tissue/Organ explant or slice,"insulin signaling, down",Metabolic Regulation,skeletal muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Diabetes mellitus,Metabolic & Endocrine,"insulin-mediated glucose uptake, down","Insulin sensitivity, down","d,l-beta-hydroxybutyrate (BOH)",Exogenous BHB (unspecified/free acid),D-BHB
20530060,beta-Hydroxybutyrate inhibits insulin-mediated glucose transport in mouse oxidative muscle.,"Blood ketone body levels increase during starvation and untreated diabetes. Here we tested the hypothesis that ketone bodies directly inhibit insulin action in skeletal muscle. We investigated the effect of d,l-beta-hydroxybutyrate (BOH; the major ketone body in vivo) on insulin-mediated glucose uptake (2-deoxyglucose) in isolated mouse soleus (oxidative) and extensor digitorum longus (EDL; glycolytic) muscle. BOH inhibited insulin-mediated glucose uptake in soleus (but not in EDL) muscle in a time- and concentration-dependent manner. Following 19.5 h of exposure to 5 mM BOH, insulin-mediated (20 mU/ml) glucose uptake was inhibited by approximately 90% (substantial inhibition was also observed in 3-O-methylglucose transport). The inhibitory effect of BOH was reproduced with d- but not l-BOH. BOH did not significantly affect hypoxia- or AICAR-mediated (activates AMP-dependent protein kinase) glucose uptake. The BOH effect did not require the presence/utilization of glucose since it was also seen when glucose in the medium was substituted with pyruvate. To determine whether the BOH effect was mediated by oxidative stress, an exogenous antioxidant (1 mM tempol) was used; however, tempol did not reverse the BOH effect on insulin action. BOH did not alter the levels of total tissue GLUT4 protein or insulin-mediated tyrosine phosphorylation of the insulin receptor and insulin receptor substrate-1 but blocked insulin-mediated phosphorylation of protein kinase B by approximately 50%. These data demonstrate that BOH inhibits insulin-mediated glucose transport in oxidative muscle by inhibiting insulin signaling. Thus ketone bodies may be potent diabetogenic agents in vivo.",SERPINE1,HUVEC,in vitro,In vitro – Primary cells,"PAI-1 secretion, no-change",Inflammation & Immune Response,vascular endothelium,Vasculature,human umbilical vein endothelial cells (HUVEC),Endothelial,Venous endothelial,NS,Unspecified / Generic,NS,Type 1 diabetes mellitus,Metabolic & Endocrine,"blood PAI-1 levels, no-change","PAI-1 levels, no-change",3-beta-hydroxybutyrate (BHB),Exogenous BHB (unspecified/free acid),NS
20532550,"Effects of high glucose and ketosis (acetoacetate, ss-hydroxybutyrate) on PAI-1 secretion in human umbilical vascular endothelial cells.","Plasminogen activator inhibitor 1 (PAI-1) is a known contributor of thrombus formation and cardiovascular diseases. Type 1 diabetes is associated with elevated levels of blood PAI-1 and cardiovascular disease (CVD) incidence. However, type 1 diabetic patients have elevated blood levels of ketone bodies acetoacetate (AA) and 3-beta-hydroxybutyrate (BHB). This study examined the hypothesis that hyperketonemia (ketosis) contributes to increased secretion of PAI-1 from the cells that form the vascular endothelium. Human umbilical vein endothelial cells (HUVEC) were treated with different concentrations of AA or BHB in the presence or absence of high glucose (HG) and the amount of PAI-1 protein secreted by these cells into conditioned media was determined. Levels of PAI-1 secreted into conditioned media by these treated cells did not change significantly when compared to controls. High glucose induced a significant increase in PAI-1 secretion, but combination with AA or BHB did not cause significant effects on PAI-1 secretion caused by HG. These results indicate that hyperglycemia but not hyperketonemia is a significant contributor to increased blood levels of PAI-1 associated with type 1 diabetes.",AADAT,Brown-Norway rats; bovine retinal slices,animal; in vitro,Animal – Rat; Animal – Other Mammal,"retinal KYNA production, up",Metabolic Regulation,retina,Eye/Retina,retinal ganglion cells (RGC),Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Retinal ganglion cell damage,Ophthalmologic,"RGC density, up","Neuronal survival, up",sodium beta-hydroxybutyrate (intraperitoneal 291.2 mg/kg; in vitro 1.0 mM and 3.0 mM),Multi-source; In vitro media supplementation,NS
20702332,Neuroprotection by acetoacetate and beta-hydroxybutyrate against NMDA-induced RGC damage in rat--possible involvement of kynurenic acid.,"PURPOSE: This study investigated the effects of systemically administered lithium acetoacetate (ACA) and sodium beta-hydroxybutyrate (BHB) in a rat model of N-methyl-D-aspartate (NMDA)-induced damage of retinal ganglion cells (RGC). Additionally, the influence of ACA and BHB on kynurenic acid (KYNA) production was assessed in vitro in bovine retinal slices. METHODS: Female adult Brown-Norway rats in groups of 5-8 animals were used. ACA and BHB were administered intraperitoneally once a day for 21 consecutive days, and phosphate buffered saline (PBS) was administered to control animals. After 2 weeks, the animals received intraocular NMDA (2 mul of a 10 mM solution in PBS) or intraocular PBS as a control. On day 19, retinal ganglion cells were labeled retrogradely with hydroxystilbamidine. Two days later, RGC density (cells per mm(2)) was assessed on retinal flatmounts. Additionaly, bovine retinal slices were incubated with NMDA and ACA or BHB at concentrations of 1.0 mM and 3.0 mM, and de novo KYNA production was measured using HPLC. RESULTS: Intraperitoneal ACA (250 mg/kg) or BHB (291.2 mg/kg) significantly protected RGC against NMDA-induced neurodegeneration. De novo KYNA production in bovine retinal slices was lowered by NMDA. Both ACA and BHB at a concentration of 3.0 mM significantly reduced the effects of NMDA. CONCLUSIONS: ACA and BHB had a significant dose-dependent neuroprotective effect on RGC in a rat model of NMDA-induced RGC damage. Both ketone bodies also significantly attenuated NMDA-induced reduction of retinal KYNA production in vitro, suggesting that this mechanism may be essential for the neuroprotective effects of ACA and BHB in vivo. Our results imply that ketone bodies may represent an additional treatment option in chronic neurodegenerative disorders of the eye.",0,rodent embryo whole-embryo culture,animal; in vitro,Ex vivo – Tissue/Organ explant or slice,"pharmacokinetics and embryonic recovery, involved",Multiple mechanisms,embryo,Systemic/Whole organism,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Abnormal growth and development,General Signs & Symptoms,"abnormal growth and development, produced","Recognition memory, produced",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
20838951,The role of pharmacokinetics in determining the response of rodent embryos to teratogens in whole-embryo culture.,"The rodent embryo's response to teratogenic insult in whole-embryo culture during the period of neurulation was characterized by determining the role of pharmacokinetics and embryonic recovery in producing abnormal growth and development. Five known teratogens, hydroxyurea, cyclophosphamide, cadmium, diphenylhydantoin, and the ketone body beta-hydroxybutyrate were employed. The dose and exposure times in vitro were designed to reproduce the peak serum concentrations and half-life of the compounds present following the administration of a teratogenic or maximum maternally tolerated dose of the agents in vivo. The results showed: first, that both the serum concentration and duration of exposure to an agent play a role in determining the embryonic response in vitro; secondly, that compounds that do not produce effects during the period of neurulation or that require maternal metabolic activation are not teratogenic in culture; and thirdly, that embryos have the capacity to recover from certain teratogenic insults in vitro. Thus, both pharmacokinetics and the potential for embryonic recovery should be considered when applying the whole-embryo culture technique to studies in teratology and toxicology.",0; KYAT1; AADAT,brain cortical slices; primary glial cultures; cortical homogenate; cultured glial cells,in vitro,Ex vivo – Tissue/Organ explant or slice; In vitro – Primary cells,"protein kinase A-dependent stimulation of KATs, up",Epigenetic Regulation,brain cortex,Brain/CNS,glial cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"excitatory glutamate-mediated neurotransmission, down","Neurotransmission, down",ketogenic diet or non-treated diabetes mellitus,Ketogenic diet (endogenous),NS
