PMID,BHB Target,Model Raw,Model Global,Model Cannonical,Mechanism Raw,Mechanism Cannonical,Organ/tissue Raw,Organ/tissue Cannonical,Cell Type Raw,Cell Type Global,Celly Type Cannonical,Organelle Raw,Organelle Global,Organelle Cannonical,Disease,Disease Category,Disease Outcome Nonstandardized,Disease Outcome Standardized,BHB Source Raw,BHB Source Cannonical,Isomer
19457063,0,cultured glutamatergic neurons,in vitro,In vitro – Primary cells,"malate-aspartate shuttle activity, down",Mitochondrial Function & Bioenergetics,brain,Brain/CNS,glutamatergic neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan","[2,4-(13)C]beta-hydroxybutyrate",Exogenous BHB (unspecified/free acid),NS
1961122,0,streptozotocin-induced diabetic rats; starved (72 hour) rats; control rats,animal,Animal – Rat,"insulin stimulation of BOHB uptake, up (controls); no-change (starved and diabetic), nan",Ion & Nutrient Transport; Multiple mechanisms,perfused hindquarter,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Starvation; Diabetes mellitus,Metabolic & Endocrine,"BOHB uptake, down","Blood ketones (BHB), down",NS,NS,NS
19664276,0,152 subjects with mild to moderate Alzheimer's disease; APOE4(-) subgroup,human,Human – Observational/Patient samples; NS,"elevation of serum beta-hydroxybutyrate, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Alzheimer's disease,Neurodegenerative,"cognition (ADAS-Cog), improved","Cognition, improved",AC-1202,MCT / Medium-chain fats,NS
19851865,0,PC12 cells,in vitro,In vitro – Immortalized cell line,"mitochondrial membrane potential maintenance, up",Mitochondrial Function & Bioenergetics,NS,NS,PC12 cells,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,D-BHB
19873554,0; ATP1A1,toad bladder,animal; in vitro,Animal – Other Mammal,"specific metabolic pathway(s) spatially linked to the transport mechanism, NS",Ion & Nutrient Transport,toad bladder,Urinary bladder/Lower urinary tract,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
19950075,0,RL-34,in vitro,In vitro – Immortalized cell line,"ROS formation, down",Oxidative Stress & Antioxidant Defense,NS,NS,RL-34 cells,Unspecified / Mixed,Cell line (origin unclear),mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
2015109,0,15-day-old rats,animal; in vitro,Animal – Rat,"NS, nan",Other / Unspecified,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
20163521,0,variety of epilepsy syndromes; different animal models; organotypic hippocampal slice cultures,human; animal; in vitro,NS; Ex vivo – Tissue/Organ explant or slice,"neuroprotection, up",Cell Death & Survival,hippocampus,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"neuronal damage, down; intrinsic and induced seizure-like activity, no-change; hippocampal network hyperexcitability, down","Neuronal survival, down; Seizure activity, no-change",D-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),D-BHB
20386494,0,Sprague-Dawley male rats; hemorrhagic shock (60% blood loss),animal,Animal – Rat; NS,"NS, nan",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hemorrhagic shock,Injury & Trauma,"survival, increased","Survival, increased",systemic administration of d-beta-hydroxybutyrate (d-BHB) plus melatonin; infusion of 4 M d-BHB,Exogenous BHB (unspecified/free acid),D-BHB
2045676,0,rat hair follicles,animal; in vitro,Animal – Rat,"pentose phosphate pathway flux, down",Metabolic Regulation,hair follicle,Skin/Integument,matrix cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
20460097,0,GK rat; INS-1 832/13 cells,animal; in vitro,Animal – Rat; In vitro – Immortalized cell line,"NS, nan",Other / Unspecified,pancreatic islets,Pancreas,INS-1 832/13 cells,Pancreatic Endocrine,β-cells (islet),mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"insulin release, up","Insulin secretion, up",NS,NS,NS
2051233,PNLIP,rats; cultured pancreatic acinar cells from rats fed NP diet; HF diet; LF diet,animal; in vitro,Animal – Rat; NS,"regulation of pancreatic lipase, up",Metabolic Regulation,pancreas,Pancreas,pancreatic acinar cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
20516259,SLC2A4; INSR; IRS1; AKT1,mouse soleus; extensor digitorum longus (EDL) muscle,animal,Animal – Mouse; Ex vivo – Tissue/Organ explant or slice,"insulin signaling, down",Metabolic Regulation,skeletal muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Diabetes mellitus,Metabolic & Endocrine,"insulin-mediated glucose uptake, down","Insulin sensitivity, down","d,l-beta-hydroxybutyrate (BOH)",Exogenous BHB (unspecified/free acid),D-BHB
20530060,SERPINE1,HUVEC,in vitro,In vitro – Primary cells,"PAI-1 secretion, no-change",Inflammation & Immune Response,vascular endothelium,Vasculature,human umbilical vein endothelial cells (HUVEC),Endothelial,Venous endothelial,NS,Unspecified / Generic,NS,Type 1 diabetes mellitus,Metabolic & Endocrine,"blood PAI-1 levels, no-change","PAI-1 levels, no-change",3-beta-hydroxybutyrate (BHB),Exogenous BHB (unspecified/free acid),NS
20532550,AADAT,Brown-Norway rats; bovine retinal slices,animal; in vitro,Animal – Rat; Animal – Other Mammal,"retinal KYNA production, up",Metabolic Regulation,retina,Eye/Retina,retinal ganglion cells (RGC),Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Retinal ganglion cell damage,Ophthalmologic,"RGC density, up","Neuronal survival, up",sodium beta-hydroxybutyrate (intraperitoneal 291.2 mg/kg; in vitro 1.0 mM and 3.0 mM),Multi-source; In vitro media supplementation,NS
2058715,0,NS,NS,NS,"mitochondrial NADH concentration, up",Mitochondrial Function & Bioenergetics,heart,Heart,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"cardiac function, no-change","Cardiac function, no-change",HBA infusion,Intravenous BHB,NS
20702332,0,rodent embryo whole-embryo culture,animal; in vitro,Ex vivo – Tissue/Organ explant or slice,"pharmacokinetics and embryonic recovery, involved",Multiple mechanisms,embryo,Systemic/Whole organism,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Abnormal growth and development,General Signs & Symptoms,"abnormal growth and development, produced","Recognition memory, produced",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
20838951,0; KYAT1; AADAT,brain cortical slices; primary glial cultures; cortical homogenate; cultured glial cells,in vitro,Ex vivo – Tissue/Organ explant or slice; In vitro – Primary cells,"protein kinase A-dependent stimulation of KATs, up",Epigenetic Regulation,brain cortex,Brain/CNS,glial cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"excitatory glutamate-mediated neurotransmission, down","Neurotransmission, down",ketogenic diet or non-treated diabetes mellitus,Ketogenic diet (endogenous),NS
20851857,0,timed-mated pregnant mice; fetal lung explant cultures,animal; in vitro,Animal – Mouse; Ex vivo – Tissue/Organ explant or slice,"ketone body metabolism, up",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"branching morphogenesis, no-change","Branching morphogenesis, no-change",Exogenous BOHB; circulating plasma beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
20959534,HMGCS2; TGFB1; 0; VIM; CDH1,type 2 diabetic db/db mice; RPTC cells,animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line,"enhanced ketone body production, up",Metabolic Regulation,kidney,Kidney,RPTC cells,Epithelial – Renal & Urothelial,Renal tubular epithelial,NS,Unspecified / Generic,NS,nan,Multi-disease,"epithelial-to-mesenchymal transition, up","Epithelial-to-mesenchymal transition, up",1 mM beta-HB,In vitro media supplementation,NS
2097037,0,broody turkey hens,animal,Animal – Other Mammal,"ovulation rate, down",Hormonal Regulation,plasma,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"ovulation rate, down","Ovulation rate, down",NS,NS,D-BHB
2100739,0,chronically catheterised fetal sheep,animal,Animal – Other Mammal,"inhibition of brain glucose uptake, down",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"brain glucose uptake, down","Glucose utilization, down",2-h infusion,NS,NS
21083663,0,neonatal hippocampal slices,in vitro,Ex vivo – Tissue/Organ explant or slice,"modulation of neuronal energy homeostasis, NS",Mitochondrial Function & Bioenergetics,neonatal hippocampus,Brain/CNS,neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",complementary energy substrate (CES); added exogenously,NS; Exogenous BHB (unspecified/free acid),NS
21106838,0,neonatal mouse brain slices,animal; in vitro,Multi-model,"GABA-mediated depolarization, no-change",Neurotransmission & Neuronal Plasticity,upper cortical plate,Brain/CNS,immature cells of the upper cortical plate,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",dl-beta-hydroxybutyrate (betaHB),Exogenous BHB (unspecified/free acid),racemic
21153866,0,U937 monocyte cell culture,in vitro,In vitro – Immortalized cell line,"mitochondrial membrane potential, no-change",Mitochondrial Function & Bioenergetics,NS,NS,U937 monocyte,Hematopoietic / Immune,Monocytes,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate (BHB),Exogenous BHB (unspecified/free acid),NS
21209187,0; SLC12A5,rat pups (postnatal days 4-7),animal,Animal – Rat,"GABA signaling, no-change",Neurotransmission & Neuronal Plasticity,developing brain,Brain/CNS,immature neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",DL-3-hydroxybutyrate (DL-BHB),Exogenous BHB (unspecified/free acid),racemic
21321316,LEP; INS; STAT3; 0,90% pancreatectomized (Px) non-obese type 2 diabetic rats,animal,Animal – Rat,"NS, nan",Other / Unspecified,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Type 2 diabetes mellitus,Metabolic & Endocrine,"insulin secretion, down","Insulin secretion, down",intraperitoneal injection of beta-hydroxybutyrate (IHB; 150 mg/kg bw/12 h),Exogenous BHB (unspecified/free acid); NS,NS
21454710,INS,human pancreatic islets; rat islets; mouse islets; INS-1 832/13 cell line,human; animal; in vitro,In vitro – Primary cells; Animal – Rat; Animal – Mouse; In vitro – Immortalized cell line,"NS, nan",Other / Unspecified,human pancreatic islets,Pancreas,beta cells,Pancreatic Endocrine,β-cells (islet),mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"insulin secretion, up","Insulin secretion, up",NS,NS,NS
21470827,0,suckling rat pups (postnatal days 5-9),animal,Animal – Rat,"neuronal excitability, down",Neurotransmission & Neuronal Plasticity,somatosensory barrel cortex,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"flurothyl-induced electrographic seizures, no-change; seizure build-up during repetitive flurothyl, down","Seizure activity, no-change; Seizure activity, down",exogenous beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
21518883,FFAR3,mouse; human,animal; human,Animal – Mouse; NS,"GPR41 antagonism, down",Ion & Nutrient Transport,sympathetic ganglion,Peripheral nerves & ganglia (PNS),sympathetic neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"energy expenditure, down","Energy expenditure, down",produced during starvation or diabetes,Fasting / Caloric restriction (endogenous),NS
21530659,MDH1,G93ASOD1 cell line; wild-type SOD1 cell line,in vitro,In vitro – Immortalized cell line,"alternative energy substrate, up",Metabolic Regulation,motor neuron,Brain/CNS,motor neuron,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Amyotrophic lateral sclerosis,Neurodegenerative,"NS, nan","NS, nan",d-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),D-BHB
21540444,ITGAL,U937; THP-1; HUVECs; isolated human monocytes,in vitro,In vitro – Immortalized cell line; In vitro – Primary cells,"LFA-1 affinity, up",Inflammation & Immune Response,endothelium,Vasculature,monocytes,Hematopoietic / Immune,Monocytes,NS,Unspecified / Generic,NS,nan,Multi-disease,"monocyte-endothelial cell adhesion, up","Cell adhesion, up",beta-hydroxybutyrate (BHB) (0-10 mM),Exogenous BHB (unspecified/free acid),NS
2159203,0,human fat cells; intact mononuclear cells of peripheral blood,human; in vitro,In vitro – Primary cells,"beta-adrenoceptor affinity, down",Hormonal Regulation,human fat cells,NS,adipocyte,Adipose,White adipocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"isoproterenol-stimulated lipolysis, down","Lipolysis, down",D-(-)-beta-hydroxybutyrate (10 mmol/l),Exogenous BHB (unspecified/free acid),D-BHB
21635175,0,PND35 rats; PND70 rats,animal,Animal – Rat,"ketone metabolism, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Traumatic brain injury,Injury & Trauma,"neurochemical and cerebral metabolic recovery, up","Neurochemical recovery, up",ketogenic diet,Ketogenic diet (endogenous),NS
21652033,IRS2; AKT1; PCK1; 0,90% pancreatectomized (Px) diabetic rats fed a high fat diet; non-diabetic Sham rats,animal,Animal – Rat,"potentiation of hypothalamic leptin and insulin signaling, up",Multiple mechanisms,hypothalamus,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Diabetes mellitus,Metabolic & Endocrine,"glucose homeostasis, improved","Glycemic control, improved",intracerebroventricular (ICV) infusion,NS,NS
21653873,0,mouse; Kir6.2 knock-out mice,animal,Animal – Mouse,"activity-dependent opening, up",Ion & Nutrient Transport,dentate gyrus,Brain/CNS,granule cells,Neural / Glial,Neurons,submembrane,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"epileptic seizures, down","Seizure activity, down",R-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
21723679,0,ICR mice; postnatal day 21; male,animal,Animal – Mouse; NS,"anticonvulsant, positive",Neurotransmission & Neuronal Plasticity,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"latency to seizure onset, up; seizure behavior grade (severity), no-change","Seizure activity, up; Seizure severity, no-change",intraperitoneal injection (20 mmol/kg),Intraperitoneal BHB,NS
21731032,0,halothane-anesthetized rats fasted for 36 hours (n=6),animal,Animal – Rat,"ketone body oxidation, up",Metabolic Regulation,cerebral cortex,Brain/CNS,neurons; astrocytes,Neural / Glial,Neurons; Astrocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan","intravenous [2,4-(13)C(2)]-D-beta-hydroxybutyrate (BHB)",Exogenous BHB (unspecified/free acid),D-BHB
21735176,0,brain mitochondria,in vitro,NS,"removal of acetoacetate action, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
21767449,0,healthy subjects (n=22),human,Human – Observational/Patient samples,"concentration, up",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"appetite, down","Appetite, down",NS,NS,NS
21819713,EPO,pregnant diabetic women; non-diabetic controls; newborn infants,human,Human – Observational/Patient samples,"erythropoiesis, up",Hormonal Regulation,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Polycythemia,Hematologic & Thrombotic,"polycythaemia, up","Polycythemia, up",NS,NS,NS
21864484,0,porcine,animal,Animal – Other Mammal,"NS, nan",Other / Unspecified,serum,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hemorrhagic shock,Injury & Trauma,"24-h survival, up; base deficit, down; oxygen consumption, up; resuscitative fluid volume, down (trend)","Survival, up; Acid-base balance, down; VO2max, up; Resuscitative fluid volume, down (trend)",4M BHB and 43 mM melatonin (BHB/M),In vitro media supplementation,NS
21886776,0,immature cultured hippocampal neurons,in vitro,In vitro – Primary cells,"chloride gradient, no-change",Ion & Nutrient Transport,hippocampus,Brain/CNS,immature cultured hippocampal neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",the primary ketone body in the neonate rat,NS,NS
21931779,0,3-NP treated mice; R6/2 transgenic mice; PC12 cells with inducible mutant huntingtin,animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line,"histone deacetylation, down",Epigenetic Regulation,striatum,Brain/CNS,PC12 cells,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Huntington's disease,Neurodegenerative,"motor deficits, down; striatal lesions, down; microgliosis, down; life span, up","Motor function, down; Brain injury, down; Neuroinflammation, down; Lifespan, up",D-beta-hydroxybutyrate (DbetaHB) infusion,Exogenous BHB (unspecified/free acid),D-BHB
2196820,INS,rat pancreatic islets,animal; in vitro,Animal – Rat,"metabolism in islet cells, up",Metabolic Regulation,pancreatic islets,Pancreas,islet cells,Pancreatic Endocrine,Islet cells (unspecified),NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",D-(-)-beta-Hydroxybutyrate,Exogenous BHB (unspecified/free acid),D-BHB
2196821,INS,rat pancreatic islets,animal; in vitro,Animal – Rat,"ATP generation, up",Mitochondrial Function & Bioenergetics,pancreatic islets,Pancreas,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"insulin release, up","Insulin secretion, up",D-(-)-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),D-BHB
21982775,AKT1,isolated mouse soleus muscle,animal; in vitro,Animal – Mouse,"Akt phosphorylation, down",Metabolic Regulation,soleus muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"insulin-mediated glucose uptake, down","Insulin sensitivity, down",5mM BOH,In vitro media supplementation,NS
22232599,0,mouse hippocampal slices (postnatal day 19-44),in vitro; animal,Multi-model,"oxidative metabolism, up",Metabolic Regulation,hippocampus,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"synaptic function, up","Synaptic function, up",partial substitution of glucose in ACSF for beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
2233276,0,rats; fasted control rats; fasted E coli-treated rats; fed control rats; fed E coli-treated rats,animal,Animal – Rat,"peripheral utilization, up",Metabolic Regulation,diaphragm,Skeletal muscle,hepatocytes,Epithelial – Hepatobiliary & Pancreatic Ductal,Hepatocytes,NS,Unspecified / Generic,NS,Sepsis,Infectious,"blood ketone bodies, down","Blood ketones (BHB), down",[3-14C]beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
22362892,0; UCP1; LEP,8-wk-old male C57BL/6J mice,animal,Animal – Mouse,"mitochondrial biogenesis, up",Mitochondrial Function & Bioenergetics,interscapular brown adipose tissue (IBAT),Adipose tissue,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Obesity,Metabolic & Endocrine,"body weight, no-change","Body weight, no-change","D-beta-hydroxybutyrate-(R)-1,3 butanediol monoester [ketone ester (KE)]",Multi-source,D-BHB
22427566,IL6; CCL2,diabetic mice; postmortem human eyes; ARPE-19 cells; primary wild-type mouse RPE cells; primary Gpr109a(-/-) mouse RPE cells,animal; human; in vitro,Animal – Mouse; Human – Observational/Patient samples; In vitro – Immortalized cell line; Multi-model,"inflammatory cytokine expression, down",Inflammation & Immune Response,retinal pigment epithelium (RPE),Eye/Retina,RPE cells,Epithelial – Skin & Eye,Retinal pigment epithelium (RPE),NS,Unspecified / Generic,NS,Diabetes mellitus,Metabolic & Endocrine,"inflammation, down","Inflammation, down",beta-HB,NS,NS
22457452,SLC12A5; SLC12A2,neonatal rat lumbar spinal cord motoneurons; primary afferent terminals,animal; in vitro,Animal – Rat; In vitro – Primary cells,"inadequate energy supply, no-change",Mitochondrial Function & Bioenergetics,spinal cord,Spinal cord,motoneurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",dl-beta-hydroxybutyric acid (DL-BHB),Exogenous BHB (unspecified/free acid),racemic
22527039,CS,Pseudomonas sp. CT13; PHB synthase-minus mutant (phaC),in vitro,NS,"chemical chaperone, up",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"salt stress resistance, up","Stress resistance, up",R-3HB,Exogenous BHB (unspecified/free acid),NS
22613619,0,rat hippocampal slices,animal; in vitro,Multi-model,"NS, nan",Other / Unspecified,hippocampus,Brain/CNS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"synaptic long-term potentiation (LTP), prevented impairment","Synaptic plasticity, prevented impairment",acetoacetate and beta-hydroxybutyrate (1 mM each),Exogenous BHB (unspecified/free acid),NS
2276080,0,"normal rats; streptozotocin-diabetic rats (100 mg/kg, 2-3 days); TG-loaded myocytes",animal; in vitro,Animal – Rat; In vitro – Primary cells,"lipolysis, up",Metabolic Regulation,heart,Heart,myocytes,Muscle – Skeletal,Skeletal myocytes / myotubes,NS,Unspecified / Generic,NS,Diabetes mellitus,Metabolic & Endocrine,"basal lipolysis, up; isoproterenol-stimulated lipolysis, no-change","Lipolysis, up; Lipolysis, no-change",beta-hydroxybutyrate (4 and 8 mM) and acetoacetate (1 and 2 mM),Exogenous BHB (unspecified/free acid),NS
22776897,CCL2,U937 human monocyte cell culture,in vitro,In vitro – Immortalized cell line,"MCP-1 secretion, no-change",Inflammation & Immune Response,NS,NS,U937 monocyte,Hematopoietic / Immune,Monocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
2278030,0,mouse embryos (2-3 somite stage); neurulating mouse embryos (5-6 somite stage),animal; in vitro,Animal – Mouse,"pyrimidine biosynthesis, down",Metabolic Regulation,embryo,Systemic/Whole organism,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Neural tube defects,Genetic / Congenital,"neural tube defects incidence, up","Neural tube defects incidence, up","D,L,-beta-hydroxybutyrate (BOHB)",Exogenous BHB (unspecified/free acid),racemic
22974977,SNCAIP,dopaminergic SH-SY5Y cells,in vitro,In vitro – Immortalized cell line,"caspase-activated apoptotic cell death, down",Cell Death & Survival,NS,NS,dopaminergic SH-SY5Y cells,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Parkinson's disease,Neurodegenerative,"synphilin-1 aggregation, down","Protein aggregation, down",Na-D-beta-hydroxybutyrate (NabetaHB),Multi-source,D-BHB
23022628,CASP3,PC12 cells,in vitro,In vitro – Immortalized cell line,"oxidative stress, down",Oxidative Stress & Antioxidant Defense,NS,NS,PC12 cells,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"apoptosis, down","Apoptosis, down",d-beta-hydroxybutyrate (DbetaHB),Exogenous BHB (unspecified/free acid),D-BHB
23144821,FN1,NRK-49F,in vitro,In vitro – Immortalized cell line,"fibrosis, up",Extracellular Matrix & Structural Remodeling,kidney,Kidney,NRK-49F cells,Unspecified / Mixed,Cell line (origin unclear),NS,Unspecified / Generic,NS,nan,Other / Unspecified,"fibrosis, up","Fibrosis, up",beta-hydroxybutyrate (beta-HB) (10 mM),Exogenous BHB (unspecified/free acid),NS
23210443,ROS1,THP-1 monocytes,in vitro,In vitro – Immortalized cell line,"ROS production, no-change",Oxidative Stress & Antioxidant Defense,NS,NS,monocytes,Hematopoietic / Immune,Monocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
23223453,0; HDAC1; HDAC2; FOXO3; MT2A,mouse tissues; cells; mice,animal; in vitro,Animal – Mouse; NS,"HDAC inhibition, up",Epigenetic Regulation,mouse tissues,Multi-tissue,cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"protection against oxidative stress, up","Oxidative stress, up",exogenous betaOHB; fasting; calorie restriction,Exogenous BHB (unspecified/free acid); Fasting / Caloric restriction (endogenous),D-BHB
23237870,HCAR1; CACNA1C; GNAI1,guinea pig cardiac myocytes,animal; in vitro,Animal – Other Mammal,"Gi-coupled signal transduction pathway, up",Neurotransmission & Neuronal Plasticity,heart,Heart,cardiac myocytes,Muscle – Skeletal,Skeletal myocytes / myotubes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
23241062,0,wild-type hippocampal slices; APPswe/PS1dE9 transgenic mice,animal; in vitro,Ex vivo – Tissue/Organ explant or slice; Animal – Mouse,"neuronal energy supply, up",Mitochondrial Function & Bioenergetics,brain,Brain/CNS,neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Alzheimer's disease,Neurodegenerative,"neuronal hyperexcitability, down","Neuroinflammation, down",pyruvate and 3-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
23262385,ALB,human serum albumin,in vitro,In vitro – Primary cells,"molten globule state formation, up",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",3-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
2328737,0,WI-38 fibroblasts; old rats,human; animal; in vitro,In vitro – Primary cells; Animal – Rat,"inhibition of cell degeneration, down",Cell Death & Survival,NS,NS,WI-38 fibroblasts,Stromal / Mesenchymal,Fibroblasts,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"cell degeneration, down","Cell viability, down",D(-)-beta-hydroxybutyrate sodium salt,Exogenous BHB (unspecified/free acid),D-BHB
2332105,0,extensor digitorum communis (EDC) muscles from fed chicks; EDC muscles from fasted chicks,animal; in vitro,Ex vivo – Tissue/Organ explant or slice,"glutamine oxidation, up",Metabolic Regulation,skeletal muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",DL-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
23339286,0,DPPC monolayers,in vitro,In vitro – Primary cells,"interfacial viscosity, down",Other / Unspecified,cell membranes,NS,NS,Unspecified / Mixed,NS,DPPC monolayer,Plasma Membrane,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",added to the subphase at clinical concentrations,NS,NS
23689508,OXCT1; PPARGC1A; PCK1; PC; 0,mice; SCOT-knock-out (SCOT-KO) neonates,animal,Animal – Mouse,"ketone body oxidation, down",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Hyperketonemic hypoglycemia,Metabolic & Endocrine,"hypoglycemia, down","Blood glucose, down",de novo hepatic beta-hydroxybutyrate synthesis,Exogenous BHB (unspecified/free acid),NS
